year,region,atc,gender,age_group,num_prescriptions,num_patients,per_1000
2022,0,A01AA01,1,1,15,14,"0,05"
2022,0,A01AA01,1,2,1128,820,"3,51"
2022,0,A01AA01,1,3,3458,2267,"10,71"
2022,0,A01AA01,1,4,6413,3788,"21,06"
2022,0,A01AA01,1,5,5765,3444,"18,77"
2022,0,A01AA01,1,6,5678,2916,"15,95"
2022,0,A01AA01,1,7,7693,3804,"19,71"
2022,0,A01AA01,1,8,7338,3502,"21,09"
2022,0,A01AA01,1,9,7974,3670,"24,47"
2022,0,A01AA01,1,10,10046,4334,"29,95"
2022,0,A01AA01,1,11,11713,4892,"34,86"
2022,0,A01AA01,1,12,16936,6531,"50,47"
2022,0,A01AA01,1,13,20287,7613,"71,02"
2022,0,A01AA01,1,14,27884,10427,"104,18"
2022,0,A01AA01,1,15,38227,13986,"146,56"
2022,0,A01AA01,1,16,46045,16862,"198,81"
2022,0,A01AA01,1,17,33872,12731,"257,48"
2022,0,A01AA01,1,18,29252,11709,"297,9"
2022,0,A01AA01,1,99,279724,113310,"53,17"
2022,0,A01AA30,1,1,200,157,"0,66"
2022,0,A01AA30,1,2,1036,662,"3,23"
2022,0,A01AA30,1,3,365,244,"1,13"
2022,0,A01AA30,1,4,187,122,"0,61"
2022,0,A01AA30,1,5,141,83,"0,46"
2022,0,A01AA30,1,6,279,159,"0,78"
2022,0,A01AA30,1,7,383,198,"0,98"
2022,0,A01AA30,1,8,267,151,"0,77"
2022,0,A01AA30,1,9,299,165,"0,92"
2022,0,A01AA30,1,10,363,180,"1,08"
2022,0,A01AA30,1,11,479,254,"1,43"
2022,0,A01AA30,1,12,584,310,"1,74"
2022,0,A01AA30,1,13,697,351,"2,44"
2022,0,A01AA30,1,14,875,452,"3,27"
2022,0,A01AA30,1,15,1133,612,"4,34"
2022,0,A01AA30,1,16,1484,797,"6,41"
2022,0,A01AA30,1,17,1162,632,"8,83"
2022,0,A01AA30,1,18,1325,778,"13,49"
2022,0,A01AA30,1,99,11259,6307,"2,14"
2022,0,A01AB03,1,1,30,28,"0,1"
2022,0,A01AB03,1,2,40,40,"0,12"
2022,0,A01AB03,1,3,54,52,"0,17"
2022,0,A01AB03,1,4,100,98,"0,33"
2022,0,A01AB03,1,5,291,281,"0,95"
2022,0,A01AB03,1,6,215,206,"0,6"
2022,0,A01AB03,1,7,236,220,"0,6"
2022,0,A01AB03,1,8,258,235,"0,74"
2022,0,A01AB03,1,9,292,272,"0,9"
2022,0,A01AB03,1,10,312,265,"0,93"
2022,0,A01AB03,1,11,288,254,"0,86"
2022,0,A01AB03,1,12,304,261,"0,91"
2022,0,A01AB03,1,13,337,289,"1,18"
2022,0,A01AB03,1,14,389,327,"1,45"
2022,0,A01AB03,1,15,391,332,"1,5"
2022,0,A01AB03,1,16,542,428,"2,34"
2022,0,A01AB03,1,17,456,361,"3,47"
2022,0,A01AB03,1,18,707,517,"7,2"
2022,0,A01AB03,1,99,5242,4466,1
2022,0,A01AB04,1,1,0,0,0
2022,0,A01AB04,1,2,0,0,0
2022,0,A01AB04,1,3,0,0,0
2022,0,A01AB04,1,4,0,0,0
2022,0,A01AB04,1,5,0,0,0
2022,0,A01AB04,1,6,0,0,0
2022,0,A01AB04,1,7,0,0,0
2022,0,A01AB04,1,8,0,0,0
2022,0,A01AB04,1,9,0,0,0
2022,0,A01AB04,1,10,2,2,"0,01"
2022,0,A01AB04,1,11,10,1,"0,03"
2022,0,A01AB04,1,12,4,1,"0,01"
2022,0,A01AB04,1,13,0,0,0
2022,0,A01AB04,1,14,0,0,0
2022,0,A01AB04,1,15,1,1,0
2022,0,A01AB04,1,16,3,3,"0,01"
2022,0,A01AB04,1,17,0,0,0
2022,0,A01AB04,1,18,0,0,0
2022,0,A01AB04,1,99,20,8,0
2022,0,A01AB08,1,1,0,0,0
2022,0,A01AB08,1,2,0,0,0
2022,0,A01AB08,1,3,0,0,0
2022,0,A01AB08,1,4,0,0,0
2022,0,A01AB08,1,5,0,0,0
2022,0,A01AB08,1,6,0,0,0
2022,0,A01AB08,1,7,0,0,0
2022,0,A01AB08,1,8,0,0,0
2022,0,A01AB08,1,9,0,0,0
2022,0,A01AB08,1,10,0,0,0
2022,0,A01AB08,1,11,0,0,0
2022,0,A01AB08,1,12,0,0,0
2022,0,A01AB08,1,13,0,0,0
2022,0,A01AB08,1,14,0,0,0
2022,0,A01AB08,1,15,0,0,0
2022,0,A01AB08,1,16,0,0,0
2022,0,A01AB08,1,17,0,0,0
2022,0,A01AB08,1,18,0,0,0
2022,0,A01AB08,1,99,0,0,0
2022,0,A01AA01,2,1,20,18,"0,07"
2022,0,A01AA01,2,2,1193,894,"3,94"
2022,0,A01AA01,2,3,3454,2344,"11,35"
2022,0,A01AA01,2,4,7445,4683,"25,99"
2022,0,A01AA01,2,5,7151,4309,"26,38"
2022,0,A01AA01,2,6,8043,4190,"23,92"
2022,0,A01AA01,2,7,11914,5976,"32,08"
2022,0,A01AA01,2,8,12666,5829,"38,62"
2022,0,A01AA01,2,9,13843,6112,"44,23"
2022,0,A01AA01,2,10,17255,7317,"53,1"
2022,0,A01AA01,2,11,22281,8827,"68,03"
2022,0,A01AA01,2,12,28456,10922,"87,01"
2022,0,A01AA01,2,13,30774,11574,"108,3"
2022,0,A01AA01,2,14,39181,14491,"143,75"
2022,0,A01AA01,2,15,49744,18215,"180,7"
2022,0,A01AA01,2,16,61068,22644,"243,12"
2022,0,A01AA01,2,17,46787,17645,"293,41"
2022,0,A01AA01,2,18,58122,23477,"341,04"
2022,0,A01AA01,2,99,419397,169467,"80,78"
2022,0,A01AA30,2,1,150,108,"0,52"
2022,0,A01AA30,2,2,902,574,"2,98"
2022,0,A01AA30,2,3,237,167,"0,78"
2022,0,A01AA30,2,4,146,93,"0,51"
2022,0,A01AA30,2,5,149,111,"0,55"
2022,0,A01AA30,2,6,201,141,"0,6"
2022,0,A01AA30,2,7,359,210,"0,97"
2022,0,A01AA30,2,8,364,230,"1,11"
2022,0,A01AA30,2,9,347,236,"1,11"
2022,0,A01AA30,2,10,554,359,"1,7"
2022,0,A01AA30,2,11,715,457,"2,18"
2022,0,A01AA30,2,12,955,622,"2,92"
2022,0,A01AA30,2,13,948,592,"3,34"
2022,0,A01AA30,2,14,1182,731,"4,34"
2022,0,A01AA30,2,15,1476,954,"5,36"
2022,0,A01AA30,2,16,1977,1231,"7,87"
2022,0,A01AA30,2,17,1740,1086,"10,91"
2022,0,A01AA30,2,18,3175,1877,"18,63"
2022,0,A01AA30,2,99,15577,9779,3
2022,0,A01AB03,2,1,28,27,"0,1"
2022,0,A01AB03,2,2,28,27,"0,09"
2022,0,A01AB03,2,3,48,47,"0,16"
2022,0,A01AB03,2,4,127,123,"0,44"
2022,0,A01AB03,2,5,262,247,"0,97"
2022,0,A01AB03,2,6,231,222,"0,69"
2022,0,A01AB03,2,7,290,279,"0,78"
2022,0,A01AB03,2,8,283,263,"0,86"
2022,0,A01AB03,2,9,248,233,"0,79"
2022,0,A01AB03,2,10,256,236,"0,79"
2022,0,A01AB03,2,11,329,297,1
2022,0,A01AB03,2,12,340,294,"1,04"
2022,0,A01AB03,2,13,340,282,"1,2"
2022,0,A01AB03,2,14,412,337,"1,51"
2022,0,A01AB03,2,15,472,358,"1,71"
2022,0,A01AB03,2,16,656,521,"2,61"
2022,0,A01AB03,2,17,772,574,"4,84"
2022,0,A01AB03,2,18,1996,1477,"11,71"
2022,0,A01AB03,2,99,7118,5844,"1,37"
2022,0,A01AB04,2,1,0,0,0
2022,0,A01AB04,2,2,0,0,0
2022,0,A01AB04,2,3,0,0,0
2022,0,A01AB04,2,4,0,0,0
2022,0,A01AB04,2,5,0,0,0
2022,0,A01AB04,2,6,0,0,0
2022,0,A01AB04,2,7,0,0,0
2022,0,A01AB04,2,8,0,0,0
2022,0,A01AB04,2,9,0,0,0
2022,0,A01AB04,2,10,0,0,0
2022,0,A01AB04,2,11,0,0,0
2022,0,A01AB04,2,12,9,3,"0,03"
2022,0,A01AB04,2,13,0,0,0
2022,0,A01AB04,2,14,0,0,0
2022,0,A01AB04,2,15,0,0,0
2022,0,A01AB04,2,16,2,1,"0,01"
2022,0,A01AB04,2,17,0,0,0
2022,0,A01AB04,2,18,0,0,0
2022,0,A01AB04,2,99,11,4,0
2022,0,A01AB08,2,1,0,0,0
2022,0,A01AB08,2,2,0,0,0
2022,0,A01AB08,2,3,0,0,0
2022,0,A01AB08,2,4,0,0,0
2022,0,A01AB08,2,5,0,0,0
2022,0,A01AB08,2,6,0,0,0
2022,0,A01AB08,2,7,0,0,0
2022,0,A01AB08,2,8,0,0,0
2022,0,A01AB08,2,9,0,0,0
2022,0,A01AB08,2,10,0,0,0
2022,0,A01AB08,2,11,0,0,0
2022,0,A01AB08,2,12,0,0,0
2022,0,A01AB08,2,13,0,0,0
2022,0,A01AB08,2,14,0,0,0
2022,0,A01AB08,2,15,0,0,0
2022,0,A01AB08,2,16,0,0,0
2022,0,A01AB08,2,17,0,0,0
2022,0,A01AB08,2,18,0,0,0
2022,0,A01AB08,2,99,0,0,0
2022,0,A01AA01,3,1,35,32,"0,06"
2022,0,A01AA01,3,2,2321,1714,"3,72"
2022,0,A01AA01,3,3,6912,4611,"11,02"
2022,0,A01AA01,3,4,13858,8471,"23,45"
2022,0,A01AA01,3,5,12916,7753,"22,34"
2022,0,A01AA01,3,6,13721,7106,"19,82"
2022,0,A01AA01,3,7,19607,9780,"25,74"
2022,0,A01AA01,3,8,20004,9331,"29,59"
2022,0,A01AA01,3,9,21817,9782,"34,15"
2022,0,A01AA01,3,10,27301,11651,"41,34"
2022,0,A01AA01,3,11,33994,13719,"51,23"
2022,0,A01AA01,3,12,45392,17453,"68,5"
2022,0,A01AA01,3,13,51061,19187,"89,61"
2022,0,A01AA01,3,14,67065,24918,"124,14"
2022,0,A01AA01,3,15,87971,32201,"164,09"
2022,0,A01AA01,3,16,107113,39506,"221,86"
2022,0,A01AA01,3,17,80659,30376,"277,17"
2022,0,A01AA01,3,18,87374,35186,"325,27"
2022,0,A01AA01,3,99,699121,282777,"66,89"
2022,0,A01AA30,3,1,350,265,"0,59"
2022,0,A01AA30,3,2,1938,1236,"3,11"
2022,0,A01AA30,3,3,602,411,"0,96"
2022,0,A01AA30,3,4,333,215,"0,56"
2022,0,A01AA30,3,5,290,194,"0,5"
2022,0,A01AA30,3,6,480,300,"0,69"
2022,0,A01AA30,3,7,742,408,"0,97"
2022,0,A01AA30,3,8,631,381,"0,93"
2022,0,A01AA30,3,9,646,401,"1,01"
2022,0,A01AA30,3,10,917,539,"1,39"
2022,0,A01AA30,3,11,1194,711,"1,8"
2022,0,A01AA30,3,12,1539,932,"2,32"
2022,0,A01AA30,3,13,1645,943,"2,89"
2022,0,A01AA30,3,14,2057,1183,"3,81"
2022,0,A01AA30,3,15,2609,1566,"4,87"
2022,0,A01AA30,3,16,3461,2028,"7,17"
2022,0,A01AA30,3,17,2902,1718,"9,97"
2022,0,A01AA30,3,18,4500,2655,"16,75"
2022,0,A01AA30,3,99,26836,16086,"2,57"
2022,0,A01AB03,3,1,58,55,"0,1"
2022,0,A01AB03,3,2,68,67,"0,11"
2022,0,A01AB03,3,3,102,99,"0,16"
2022,0,A01AB03,3,4,227,221,"0,38"
2022,0,A01AB03,3,5,553,528,"0,96"
2022,0,A01AB03,3,6,446,428,"0,64"
2022,0,A01AB03,3,7,526,499,"0,69"
2022,0,A01AB03,3,8,541,498,"0,8"
2022,0,A01AB03,3,9,540,505,"0,85"
2022,0,A01AB03,3,10,568,501,"0,86"
2022,0,A01AB03,3,11,617,551,"0,93"
2022,0,A01AB03,3,12,644,555,"0,97"
2022,0,A01AB03,3,13,677,571,"1,19"
2022,0,A01AB03,3,14,801,664,"1,48"
2022,0,A01AB03,3,15,863,690,"1,61"
2022,0,A01AB03,3,16,1198,949,"2,48"
2022,0,A01AB03,3,17,1228,935,"4,22"
2022,0,A01AB03,3,18,2703,1994,"10,06"
2022,0,A01AB03,3,99,12360,10310,"1,18"
2022,0,A01AB04,3,1,0,0,0
2022,0,A01AB04,3,2,0,0,0
2022,0,A01AB04,3,3,0,0,0
2022,0,A01AB04,3,4,0,0,0
2022,0,A01AB04,3,5,0,0,0
2022,0,A01AB04,3,6,0,0,0
2022,0,A01AB04,3,7,0,0,0
2022,0,A01AB04,3,8,0,0,0
2022,0,A01AB04,3,9,0,0,0
2022,0,A01AB04,3,10,2,2,0
2022,0,A01AB04,3,11,10,1,"0,02"
2022,0,A01AB04,3,12,13,4,"0,02"
2022,0,A01AB04,3,13,0,0,0
2022,0,A01AB04,3,14,0,0,0
2022,0,A01AB04,3,15,1,1,0
2022,0,A01AB04,3,16,5,4,"0,01"
2022,0,A01AB04,3,17,0,0,0
2022,0,A01AB04,3,18,0,0,0
2022,0,A01AB04,3,99,31,12,0
2022,0,A01AB08,3,1,0,0,0
2022,0,A01AB08,3,2,0,0,0
2022,0,A01AB08,3,3,0,0,0
2022,0,A01AB08,3,4,0,0,0
2022,0,A01AB08,3,5,0,0,0
2022,0,A01AB08,3,6,0,0,0
2022,0,A01AB08,3,7,0,0,0
2022,0,A01AB08,3,8,0,0,0
2022,0,A01AB08,3,9,0,0,0
2022,0,A01AB08,3,10,0,0,0
2022,0,A01AB08,3,11,0,0,0
2022,0,A01AB08,3,12,0,0,0
2022,0,A01AB08,3,13,0,0,0
2022,0,A01AB08,3,14,0,0,0
2022,0,A01AB08,3,15,0,0,0
2022,0,A01AB08,3,16,0,0,0
2022,0,A01AB08,3,17,0,0,0
2022,0,A01AB08,3,18,0,0,0
2022,0,A01AB08,3,99,0,0,0
2022,1,A01AA01,1,1,2,2,"0,03"
2022,1,A01AA01,1,2,67,56,"0,88"
2022,1,A01AA01,1,3,277,194,"3,61"
2022,1,A01AA01,1,4,889,614,"12,59"
2022,1,A01AA01,1,5,944,620,"14,5"
2022,1,A01AA01,1,6,941,551,"10,69"
2022,1,A01AA01,1,7,1305,695,"12,89"
2022,1,A01AA01,1,8,1134,643,"12,22"
2022,1,A01AA01,1,9,1240,655,"14,38"
2022,1,A01AA01,1,10,1462,685,"17,15"
2022,1,A01AA01,1,11,1720,771,"21,74"
2022,1,A01AA01,1,12,2071,907,"27,2"
2022,1,A01AA01,1,13,2542,1014,"41,91"
2022,1,A01AA01,1,14,3188,1265,"62,18"
2022,1,A01AA01,1,15,3977,1527,"86,31"
2022,1,A01AA01,1,16,5058,1968,"120,58"
2022,1,A01AA01,1,17,3819,1481,"167,63"
2022,1,A01AA01,1,18,3452,1428,"211,65"
2022,1,A01AA01,1,99,34088,15076,"28,17"
2022,1,A01AA30,1,1,0,0,0
2022,1,A01AA30,1,2,0,0,0
2022,1,A01AA30,1,3,1,1,"0,01"
2022,1,A01AA30,1,4,5,4,"0,07"
2022,1,A01AA30,1,5,1,1,"0,02"
2022,1,A01AA30,1,6,25,15,"0,28"
2022,1,A01AA30,1,7,32,11,"0,32"
2022,1,A01AA30,1,8,12,8,"0,13"
2022,1,A01AA30,1,9,5,5,"0,06"
2022,1,A01AA30,1,10,10,8,"0,12"
2022,1,A01AA30,1,11,19,13,"0,24"
2022,1,A01AA30,1,12,29,15,"0,38"
2022,1,A01AA30,1,13,25,18,"0,41"
2022,1,A01AA30,1,14,42,29,"0,82"
2022,1,A01AA30,1,15,59,39,"1,28"
2022,1,A01AA30,1,16,73,42,"1,74"
2022,1,A01AA30,1,17,69,42,"3,03"
2022,1,A01AA30,1,18,46,37,"2,82"
2022,1,A01AA30,1,99,453,288,"0,37"
2022,1,A01AB03,1,1,5,5,"0,07"
2022,1,A01AB03,1,2,15,15,"0,2"
2022,1,A01AB03,1,3,29,28,"0,38"
2022,1,A01AB03,1,4,44,43,"0,62"
2022,1,A01AB03,1,5,101,97,"1,55"
2022,1,A01AB03,1,6,79,76,"0,9"
2022,1,A01AB03,1,7,91,87,"0,9"
2022,1,A01AB03,1,8,97,88,"1,05"
2022,1,A01AB03,1,9,101,100,"1,17"
2022,1,A01AB03,1,10,89,82,"1,04"
2022,1,A01AB03,1,11,90,86,"1,14"
2022,1,A01AB03,1,12,105,96,"1,38"
2022,1,A01AB03,1,13,118,102,"1,95"
2022,1,A01AB03,1,14,134,116,"2,61"
2022,1,A01AB03,1,15,137,117,"2,97"
2022,1,A01AB03,1,16,198,160,"4,72"
2022,1,A01AB03,1,17,190,148,"8,34"
2022,1,A01AB03,1,18,258,188,"15,82"
2022,1,A01AB03,1,99,1881,1634,"1,55"
2022,1,A01AB04,1,1,0,0,0
2022,1,A01AB04,1,2,0,0,0
2022,1,A01AB04,1,3,0,0,0
2022,1,A01AB04,1,4,0,0,0
2022,1,A01AB04,1,5,0,0,0
2022,1,A01AB04,1,6,0,0,0
2022,1,A01AB04,1,7,0,0,0
2022,1,A01AB04,1,8,0,0,0
2022,1,A01AB04,1,9,0,0,0
2022,1,A01AB04,1,10,0,0,0
2022,1,A01AB04,1,11,0,0,0
2022,1,A01AB04,1,12,0,0,0
2022,1,A01AB04,1,13,0,0,0
2022,1,A01AB04,1,14,0,0,0
2022,1,A01AB04,1,15,0,0,0
2022,1,A01AB04,1,16,0,0,0
2022,1,A01AB04,1,17,0,0,0
2022,1,A01AB04,1,18,0,0,0
2022,1,A01AB04,1,99,0,0,0
2022,1,A01AB08,1,1,0,0,0
2022,1,A01AB08,1,2,0,0,0
2022,1,A01AB08,1,3,0,0,0
2022,1,A01AB08,1,4,0,0,0
2022,1,A01AB08,1,5,0,0,0
2022,1,A01AB08,1,6,0,0,0
2022,1,A01AB08,1,7,0,0,0
2022,1,A01AB08,1,8,0,0,0
2022,1,A01AB08,1,9,0,0,0
2022,1,A01AB08,1,10,0,0,0
2022,1,A01AB08,1,11,0,0,0
2022,1,A01AB08,1,12,0,0,0
2022,1,A01AB08,1,13,0,0,0
2022,1,A01AB08,1,14,0,0,0
2022,1,A01AB08,1,15,0,0,0
2022,1,A01AB08,1,16,0,0,0
2022,1,A01AB08,1,17,0,0,0
2022,1,A01AB08,1,18,0,0,0
2022,1,A01AB08,1,99,0,0,0
